Row,Equipment Number,Original Description,Suspect Tokens
1904,2000032001,32-1s Oxygen Analyzer - B Oiler,B
1905,2000032002,32-2s Oxygen Analyzer - B Oiler,B
1906,2000032003,32-3s Oxygen Analyzer - B Oiler,B
1907,2000032004,32-4s Oxygen Analyzer - B Oiler,B
1908,2000032005,32FFI So2 Analyzers,32FFI
1912,2000032009,33 Window Air Cnditioner Unit 3 South Cems,South
1913,2000032010,33FFI So2 Analyzers,33FFI
1917,2000032014,34 Window Air Cnditioner Unit 3 West Cem,West
1921,2000032018,Continuous Emission Monit Or,Or
1922,2000032019,Co/h2o/co2 Analyzer,Co
1924,2000032021,Sdain O2 Analyzers AQCS,Sdain
1928,2000032025,31 Id Fan Lube Oil Unit A Nd Tank,"A, Nd"
1935,2000032032,31-1 Id Fan Lube Oil Pump Motor,Pump
1936,2000032033,31-1 Id Fan Lube Oil Pump,Pump
1937,2000032034,31-1 Induced Draft Fan Va Riable Speed D,"D, Va"
1940,2000032037,31-2 Id Fan Lube Oil Pump Motor,Pump
1941,2000032038,31-2 Id Fan Lube Oil Pump,Pump
1942,2000032039,31-2 Induced Draft Fan Va Riable Speed D,"D, Va"
1944,2000032041,32 Id Fan Lube Oil Unit A Nd Tank,"A, Nd"
1951,2000032048,32-1 Id Fan Lube Oil Pump Motor,Pump
1952,2000032049,32-1 Id Fan Lube Oil Pump,Pump
1953,2000032050,32-1 Induced Draft Fan Va Riable Speed D,"D, Va"
1956,2000032053,32-2 Id Fan Lube Oil Pump Motor,Pump
1957,2000032054,32-2 Id Fan Lube Oil Pump,Pump
1958,2000032055,32-2 Induced Draft Fan Va Riable Speed D,"D, Va"
1960,2000032057,33 Id Fan Lube Oil Unit A Nd Tank,"A, Nd"
1967,2000032064,33-1 Id Fan Lube Oil Pump Motor,Pump
1968,2000032065,33-1 Id Fan Lube Oil Pump,Pump
1969,2000032066,33-1 Induced Draft Fan Va Riable Speed D,"D, Va"
1972,2000032069,33-2 Id Fan Lube Oil Pump Motor,Pump
1973,2000032070,33-2 Id Fan Lube Oil Pump,Pump
1974,2000032071,33-2 Induced Draft Fan Va Riable Speed D,"D, Va"
1976,2000032073,34 Id Fan Lube Oil Unit A Nd Tank,"A, Nd"
1983,2000032080,34-1 Id Fan Lube Oil Pump Motor,Pump
1984,2000032081,34-1 Id Fan Lube Oil Pump,Pump
1985,2000032082,34-1 Induced Draft Fan Va Riable Speed D,"D, Va"
1988,2000032085,34-2 Id Fan Lube Oil Pump Motor,Pump
1989,2000032086,34-2 Id Fan Lube Oil Pump,Pump
1990,2000032087,34-2 Induced Draft Fan Va Riable Speed D,"D, Va"
2041,2000032752,31 Mc Distrobution System,Mc
2042,2000032753,32 Mc Distrobution System,Mc
2046,2000032794,Welding Shop Crane Welding Shop North,North
2055,2000033301,River Pphse Crane,Pphse
2056,2000033302,Trolly Recycle Pump House,Pump
2057,2000033303,Trolly River Intake Pump House,Pump
2058,2000033389,1 AQCS Slurry Weigh Devic E.,"Devic, E"
2059,2000033390,31 Add Feed Pump Motor,Pump
2060,2000033391,31 Add Feed Pump,Pump
2061,2000033392,Add Feed Sample Pump,Pump
2068,2000033399,31 Solids Recycle Pump Mo Tor,"Mo, Pump"
2069,2000033700,31 Solids Recycle Pump,Pump
2076,2000033707,32 Add Feed Pump Motor,Pump
2077,2000033708,32 Add Feed Pump,Pump
2078,2000033709,Add Feed Sample Pump,Pump
2085,2000033716,32 Solids Recycle Pump Mo Tor,"Mo, Pump"
2086,2000033717,32 Solids Recycle Pump,Pump
2092,2000033723,33 Add Feed Pump Motor,Pump
2093,2000033724,33 Add Feed Pump,Pump
2096,2000033727,33 Solids Recycle Pump Mo Tor,"Mo, Pump"
2097,2000033728,33 Solids Recycle Pump,Pump
2099,2000033730,34 Add Feed Pump Motor,Pump
2100,2000033731,34 Add Feed Pump,Pump
2102,2000033733,35 Add Feed Pump Motor,Pump
2103,2000033734,35 Add Feed Pump,Pump
2105,2000033736,36 Add Feed Pump Motor,Pump
2106,2000033737,36 Add Feed Pump,Pump
2108,2000033739,37 Add Feed Pump Motor,Pump
2109,2000033740,37 Add Feed Pump,Pump
2111,2000033742,38 Add Feed Pump Motor,Pump
2112,2000033743,38 Add Feed Pump,Pump
2115,2000033746,(csa) All Lsxp,Lsxp
2116,2000033747,All Sda Head Pump,Pump
2117,2000033748,(csa) All Srt,Srt
2121,2000033752,31 Spray Dryer Absrbr Reheat Distributio,Distributio
2152,2000033783,Hose Bibb Flush Water Shut Off U7-308e,308e
2168,2000033799,A Spray Absorber Atomizer Atomizer Pull,A
2169,2000034300,All Atomizers,Atomizers
2172,2000034303,(csc) All Sod,Sod
2173,2000034304,B Spray Absorber Atomizer Atomizer Pull,B
2174,2000034305,C Spray Absorber Atomizer Atomizer Pull,C
